a4,a16,a17,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a2,a3,a5,a7,a8,a10,a11,a13,a14,a15,a18,a19,label
47203,813,5,1910,50,52,0.300,17,69,0.750,,0,1700,58.800,41.200,0,0,2.200,0.900,40,40,106.660,M337,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47203,802,7,1910,50,55,0.233,13.340,74,0.625,,4.800,1635,59.500,35.700,1,0,3,2,40,40,100,T32,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,ALBERT70,CATALOG,NORTHUS,1
47203,802,2,1910,50,55,0.233,13.860,70,0.625,47,10.200,1635,51,38.800,0,0,3,1,40,40,100,M410,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,ALBERT70,CATALOG,NORTHUS,1
47203,813,1,1910,50,52,0.267,15.600,71,0.750,,20.600,1700,46.700,32.700,0,0,2.500,0.600,40,40,106.660,E510,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
37168,815,2,1911,30,63,0.300,13,94,1,29,0,1800,56.200,43.800,0,0,2.500,1,30,40,110,G108,AMES,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,0
37333,815,2,1911,50,60,0.267,13.600,86,1.125,28,0,1500,64.100,35.900,0,0,2.500,1,33,40,106.450,G145,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,0
25517,821,7,1911,55,53,0.300,14.200,72,0.625,25,22.700,1750,45.500,31.800,1,0,2.400,0.900,34,40,103.125,X356,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
37333,815,2,1910,35,56,0.300,15.300,80,0.750,20,0,1900,76.900,23.100,0,0,2.500,1.250,33,40,106.660,G95,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,WOODHOE70,TABLOID,CANADIAN,0
37994,821,7,1911,55,56,0.233,15,84,0.625,25,16.700,1850,52.100,31.300,4,0,2,0.600,34,40,103.125,X802,HANHOUSE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
25513,821,7,1910,55,49,0.200,15,78,0.625,20,17.100,1900,47.600,35.200,0,0,2.500,0.850,34,40,106.450,X779,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
47203,802,2,1910,50,50,0.200,15.700,90,0.750,50,0,1420,62.500,37.500,0,0,3,1.350,40,40,106.450,T380,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
47203,802,7,1910,50,50,0.200,15.500,74,0.750,58,4.800,1420,59.500,35.700,3,0,3,1,40,40,106.450,F146,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
35871,824,9,1911,35,56,0.233,16,82,0.562,28,5.600,2100,56.200,38.200,0,0,1.700,0.400,30,40,103.125,X9,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35871,824,2,1911,35,56,0.200,15,80,0.812,40,8.600,2100,53.800,37.600,8,0,1.700,1,30,40,100,X21,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37169,824,2,1911,40,50,0.200,16,68,0.812,30,0,2400,58.800,41.200,8,0,2.500,1.500,33,40,103.125,X220,AMES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
47169,824,9,1911,40,50,0.233,16,70,0.562,30,0,2400,58.800,41.200,8,0,1.500,0.500,33,40,103.125,X147,AMES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
32360,827,2,1910,,59,0.233,14.200,80,1,20,5.600,,55.600,38.900,0,0,2,2.500,33,40,106.450,E92,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
32360,827,9,1911,37.500,59,0.233,16,75,0.750,20,4.300,,54.300,41.300,0,0,2.500,1.500,33,40,106.450,E85,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,,1
37822,816,9,1911,40,54,0.200,15.800,76,0.500,38,5.600,1736,55.600,38.900,0,0,2.500,1.500,35,40,103.125,F685,BESTPROD,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37822,816,2,1911,40,54,0.200,15.400,78,0.500,34,5.700,1736,56.800,36.900,0,0,2.500,1.100,35,40,103.125,F569,BESTPROD,NO,YES,BENTON,UNCOATED,COVER,LINE,YES,WOODHOE70,CATALOG,NORTHUS,1
37994,821,2,1911,55,45,0.267,15.500,79,0.625,20,16.700,1850,54.300,34.300,4,0,2.500,1,34,40,100,X139,HANHOUSE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,1
25519,821,7,1910,52,64,0.400,15.500,82,0.625,30,0,1800,71.400,28.600,4,0,2.500,0.900,34,40,103.125,X12,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
35458,816,9,1910,40,56,0.233,16.500,79,0.500,28,0,2300,60.200,39.800,0,0,2.500,1.500,30,40,106.450,G518,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,NO,WOODHOE70,TABLOID,CANADIAN,0
35460,824,2,1910,45,54,0.333,15.500,76,0.812,30,5.600,2250,55.600,38.900,2,0,2.500,1.300,30,40,106.450,X116,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37365,828,2,1910,47.500,68,0.400,16,80,0.750,30,0,2250,58.800,41.200,0,0,1.500,1,35,40,106.450,X818,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
37365,828,9,1910,47.500,68,0.350,16,80,0.750,30,0,2250,52.100,47.900,0,0,1.500,0.750,35,40,106.450,X346,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,SCANDANAVIAN,1
35460,824,9,1910,45,54,0.367,15.500,74,0.562,40,10.500,2250,52.600,36.800,2,0,2.500,1.800,30,40,106.450,X103,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37365,827,2,1911,37.500,70,0.333,14.900,64,0.750,28,3.400,1500,57.500,39.100,0,0,2.500,1,40,40,106.890,E74,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
37365,827,9,1911,37.500,70,0.400,15,65,0.750,25,5.400,1500,54.300,40.200,0,0,2.300,0.900,40,40,106.660,E86,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37338,824,2,1911,47.500,60,0.400,14.500,74,0.812,20,8.600,1600,53.800,37.600,0,0,2,1.500,35,40,110,X396,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37758,828,9,1910,40,62,0.300,16,84,0.938,28,0,2200,58.800,41.200,4,0,2.500,0.600,30,40,106.450,X155,ROSES,NO,YES,,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35758,828,2,1910,40,62,0.267,16,84,0.938,32,0,2200,58.800,41.200,4,0,1.400,1,30,40,106.450,X29,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
35458,816,9,1910,40,64,0.200,15.500,85,1,26,0,2400,58.800,41.200,0,0,2.500,1,30,40,103.125,G518,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,1
35458,816,2,1910,40,64,0.233,15,82,0.750,31,0,2400,60,40,3,0,2.500,1,30,40,106.660,G608,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,1
47203,802,7,1910,50,69,0.367,17,82,0.750,50,0,1700,62.500,37.500,0,0,3,1,40,40,106.450,M337,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,ALBERT70,CATALOG,NORTHUS,0
37338,824,9,1911,50,60,0.400,16,76,0.562,28,5.600,1600,55.600,38.900,0,0,1,0.500,35,40,110,X381,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
37915,815,2,1910,50,62,0.400,15.400,98,0.750,25,10.600,1750,48.100,41.300,0,0,2.800,1.300,33,40,110,J582,HILLS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
37915,815,9,1911,50,62,0.400,14.900,96,0.750,26,11,1950,50,39,0,0,2.800,0.800,33,40,110,J62,HILLS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
47203,813,1,1910,50,68,0.367,13.400,70,,,20.400,1700,46.300,33.300,0,0,2.500,1,40,40,106.450,F510,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,0
37305,815,9,1911,35,68,0.400,15.100,90,0.875,30,6,1500,59.500,34.500,1,0,2.500,1,35,40,106.890,Y216,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,SCANDANAVIAN,0
37501,816,2,1910,,56,0.300,16.020,84,0.250,30,5.300,2244,52.600,42.100,5,0,3,0.800,30,40,110,G089,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
37501,816,9,,32.500,56,0.367,15.030,79,0.312,28,5.300,2244,52.600,42.100,0,0,1.800,0.500,30,40,106.450,G572,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,,1
37177,828,2,1910,40,56,0.300,17,82,0.750,30,0,2550,52.600,47.400,0,0,2,1,33,40,103.220,X390,AMES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37177,828,9,1910,30,56,0.283,17,72,0.750,30,0,2550,52.600,47.400,0,0,2,1,33,40,103.220,X831,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37501,815,2,1910,30,69,0.300,16,98,0.750,35,0,2050,62.500,37.500,0,0,2.750,1,33,40,100,G78,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,1
35759,827,2,1910,45,69,0.267,15.600,72,0.750,21,5.600,2426,55.600,38.900,0,0,2.850,1.100,30,40,103.220,X158,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37579,827,9,1910,45,69,0.267,16.100,76,0.750,22,5.600,2426,55.600,38.900,0,0,2.700,0.700,30,40,103.220,X804,ROSES,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
37501,815,9,1910,32.500,69,0.200,15.500,94,0.750,30,0.500,2050,52.600,42.100,0,0,2.500,1,33,40,100,G69,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,WOODHOE70,TABLOID,CANADIAN,1
37502,824,2,1910,,66,0.200,15,82,0.812,30,7,1900,58.100,34.900,5,0,2.500,0.900,30,40,103.125,X820,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37938,816,9,1910,45,65,0.300,16.300,78,0.750,32,3.400,1700,56.800,39.800,4,0,2.500,1,34,40,106.450,I343,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,WOODHOE70,CATALOG,NORTHUS,0
35528,816,2,1910,40,68,0.300,14,88,0.750,32,0,1742,60,40,3,0,2.500,1,40,40,103.125,R2,SHEPLERS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,SPIEGEL,NORTHUS,0
37199,824,9,1910,40,64,0.200,16.500,82,0.562,30,2.300,1900,57.500,40.200,0,0,1.300,0.800,30,40,106.450,X760,WARDS,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,0
37003,815,2,1910,40,65,0.267,16.200,79,0.625,30,0,1500,62.500,37.500,4,0,2.500,1,38,40,106.450,I383,CHILDCRAFT,YES,YES,BENTON,UNCOATED,COVER,LINE,YES,WOODHOE70,CATALOG,NORTHUS,0
37990,813,1,1910,50,66,0.233,16,87,1,,11.100,1530,55.600,33.300,0,0,2.500,1,34,40,100,T176,HANOVERHOUSE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,0
37365,815,9,1911,35,62,0.400,14.500,94,1,35,0,1900,63.300,36.700,0,0,2.500,1,35,40,106.890,Y255,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,0
35460,824,2,1910,40,62,,16,80,0.812,40,0,2250,62.500,37.500,0,0,2.500,0.700,30,40,110,X253,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,0
37365,827,9,1910,42.500,58,0.400,15,76,1,20,5.400,2000,54.300,40.200,0,0,2.500,1,35,40,103.330,AA11,KMART,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,0
47204,813,9,1910,50,64,0.233,18,64,1,,0,1300,62.500,37.500,0,0,3,1,40,40,106.450,M362,MODMAT,YES,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,0
47204,813,10,1910,50,64,0.200,16,86,0.750,,0,1300,58.800,41.100,0,0,2.500,1,40,40,106.450,F26,MODMAT,YES,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,,0
37938,816,2,1910,60,66,0.200,14.500,85,0.250,,0,,62.200,37.800,0,0,2.500,1,34,40,106.450,I820,MASSEY,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,0
37505,824,9,1910,40,64,0.233,15.400,88,0.562,24,4.400,1835,55.500,40,2,0,2,1.300,30,40,106.450,X367,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
37505,824,2,1910,40,64,0.200,16,76,0.812,23,4.800,1835,59.500,35.700,3,0,2,0.700,30,40,106.450,X793,WARDS,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
47103,816,9,1910,47.500,63,0.300,16.400,84,0.500,27,20.700,1800,41.300,38,5,0,2.600,0.300,40,33,96.700,F679,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,0
47103,816,9,1910,50,50,0.300,14.500,84,0.250,24,20.700,1500,41.300,38,0,0,3,0.600,40,33,103.300,F242,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,WOODHOE70,CATALOG,NORTHUS,0
47103,813,1,1910,50,48,0.233,13,80,1,,18.900,1700,47.200,34,0,0,2.700,0.600,40,33,100,M260,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,0
34402,815,9,1911,52,54,0.500,16,82,0.875,22,15.800,900,49.500,34.700,0,0,2.500,1,50,40,96.700,I331,AUSTADS,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,WOODHOE70,CATALOG,NORTHUS,0
34545,827,2,1910,40,41,0.233,14,79,0.750,20,0,1530,61.700,38.300,5,0,3.100,1.800,33,33,96.900,O21,TARGET,NO,YES,BENTON,COATED,COATED,LINE,NO,MOTTER94,SPIEGEL,CANADIAN,1
36053,815,9,1910,45,42,0.233,15,76,0.750,30,0,2220,58.800,41.200,0,0,2.500,1,30,35,100,J68,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,1
36053,815,2,1910,45,42,0.233,16,84,0.625,28,0,2220,54.300,45.700,0,0,2.500,1,30,35,100,J42,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,CANADIAN,1
36859,802,7,1911,55,54,0.267,15,70,0.625,60,3.400,1600,56.800,39.800,0,0,1,0.400,45,40,103.300,F331,NATLWILDLIFE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
36859,802,2,1911,57.500,54,0.267,15.500,80,0.625,55,0,1600,62.500,37.500,0,0,3,0.500,45,40,103.300,F571,NATLWILDLIFE,YES,YES,BENTON,UNCOATED,COVER,LINE,NO,ALBERT70,CATALOG,NORTHUS,1
47103,813,9,1910,40,54,0.233,15.590,89,1,,1.200,1700,58.100,40.700,0,0,2.500,0.600,40,33,103.300,M93,MODMAT,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
34683,815,2,1910,40,38,0.300,16,92,0.625,25,1.100,1900,53.800,45.200,0,0,2.500,1,30,33,100,G467,ECKERD,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,TABLOID,NORTHUS,1
36648,815,1,1911,50,60,0.300,14,75,0.625,33,0,2000,65.200,34.800,0,0,0,0,35,40,96.900,F227,JAMESWAY,NO,YES,BENTON,UNCOATED,COATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,0
34664,816,9,1910,45,49,0.200,16,72,0.375,38,15,1650,50,35,0,0,2.500,0.200,38,33,96.900,G496,BURDINES,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,WOODHOE70,TABLOID,NORTHUS,0
36858,813,5,1910,60,43,0.367,15,94,1,,9.500,1500,52.600,37.900,0,4,2.500,1,40,35,100,F329,EXXON,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,0
25416,821,7,1911,47.500,41,0.333,18,74,0.500,30,17.700,1900,44.200,38.100,2,0,2.500,1,40,33,100,X203,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
36858,802,2,1910,47.500,52,0.267,14.300,98,0.750,55,11.700,1600,53.200,35.100,0,0,3,1,40,33,100,T313,EXXON,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,0
34546,816,9,1911,37.500,54,0.300,14.500,80,1,20,10.900,2400,54.300,34.800,0,0,2.500,0.400,30,40,103.300,R4,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,1
34546,816,2,1911,52.500,54,0.267,14.600,82,,32,10.500,2400,52.600,36.800,0,0,2.500,0.500,30,40,100,R15,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,1
36054,827,2,1910,45,55,0.300,15,75,0.750,25,0,2300,59.800,40.200,0,0,2,2.300,30,33,96.600,X400,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
34545,827,9,1910,40,48,0.300,15,82,1,35,0,1720,59.300,40.700,0,0,1.500,1.500,32,33,100,O6,TARGET,NO,YES,BENTON,UNCOATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
34545,827,2,1910,40,48,0.333,15,75,1,30,0,1720,61.700,38.300,0,0,2.500,3,33,33,103.200,O14,TARGET,NO,YES,BENTON,UNCOATED,COATED,LINE,NO,MOTTER94,TABLOID,CANADIAN,1
47103,802,7,1910,50,52,0.200,14,80,0.750,60,4.400,1700,54.900,40.700,0,0,2.500,1,40,33,100,T244,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,ALBERT70,CATALOG,NORTHUS,0
47103,813,1,1910,55,54,0.233,13.230,79,1,,18.900,1700,47.200,34,0,0,2,0.600,40,33,100,M260,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47103,813,10,1910,40,54,0.267,14.420,87,1,,4.500,1700,56.200,39.300,0,0,2.500,1,40,33,96.800,T383,MODMAT,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47103,802,2,1910,72.500,54,0.200,14.500,82,0.750,50,2.200,1900,56.700,41.600,0,0,3,0.900,40,33,100,T78,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,ALBERT70,CATALOG,NORTHUS,1
47103,813,5,1910,47.500,54,0.200,16.080,69,1,,3.300,1700,55.500,41.100,0,0,2.500,0.900,40,30,103.300,M4,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,NORTHUS,1
47103,816,2,1910,60,50,0.300,15,72,0.750,30,15.900,1700,44.200,39.800,1,0,3,0.500,40,33,100,F672,MODMAT,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,WOODHOE70,CATALOG,NORTHUS,0
34752,824,9,1910,50,48,0.333,15.800,70,,30,0,1900,58.800,41.200,5,0,2.500,1.200,30,33,100,X776,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
34752,824,2,1910,50,48,0.233,15.500,68,0.812,30,0,1900,57.400,42.600,10,0,1.500,1,30,33,100,X713,TOYSRUS,NO,NO,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,NORTHUS,1
36928,815,9,1910,40,54,0.233,15,80,0.750,28,0,1800,58.800,41.200,0,0,2.500,1.200,30,33,100,M432,HOMESHOPPING,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,1
36928,815,2,1910,40,54,0.300,15,88,0.750,28,0,1800,58.800,41.200,0,0,2.500,1.200,30,33,100,M257,HOMESHOPPING,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,1
25424,821,7,1911,40,54,0.333,14.100,80,,20,24.800,1850,41.300,33.900,3,0,2.500,0.800,40,40,103.300,X138,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,MOTTER94,TABLOID,NORTHUS,1
36859,802,2,,50,65,,17,100,0.625,52,5.600,1650,55.500,38.900,0,0,3,0.600,45,,,F670,NTLWILDLIFE,YES,YES,BENTON,UNCOATED,COVER,LINE,NO,ALBERT70,CATALOG,NORTHUS,0
34093,821,7,1910,52.500,62,0.433,14.500,95,0.750,20,0,1950,58.800,41.200,0,0,2,1,38,35,100,X787,HANOVERHOUSE,YES,YES,BENTON,UNCOATED,COVER,LINE,NO,MOTTER94,TABLOID,NORTHUS,0
36859,802,2,1910,50,56,0.200,14.300,105,0.750,70,0,1600,55.500,44.500,0,0,3,1,45,35,100,F590,NATLWILDLIFE,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,ALBERT70,CATALOG,NORTHUS,0
36649,813,6,1911,47.500,62,0.333,15,84,,,5.600,,56.200,38.200,0,0,2.500,1,35,40,96.700,F19,JAMESWAY,NO,YES,BENTON,COATED,COATED,LINE,,MOTTER70,CATALOG,SCANDANAVIAN,1
36649,813,1,1911,47.500,62,,15,80,,,5.600,,56.200,38.200,0,0,2.500,1,35,40,96.900,F89,JAMESWAY,NO,YES,BENTON,COATED,COATED,LINE,,MOTTER70,CATALOG,SCANDANAVIAN,1
34547,815,9,1910,30,58,0.433,15.900,81,0.625,30,0,2150,62.500,37.500,10,0,2.500,1,30,35,90,R17,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,1
34547,815,2,1910,30,58,0.333,16.300,78,0.625,30,0,2150,58.800,41.200,10,0,2.500,1,30,35,90,R29,TARGET,NO,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,SPIEGEL,CANADIAN,1
36894,824,2,1910,30,51,0.300,16,70,0.812,20,0,2250,58.800,41.200,0,0,1.500,0.600,30,35,103.300,X423,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
36894,824,9,1910,30,51,0.333,16,76,0.875,25,19.100,2250,42.700,38.200,3,0,1.200,0.500,30,35,103.300,X414,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
36057,827,9,1910,30,58,0.467,15,98,0.750,30,0,2300,58.800,41.200,6,0,2.250,1,30,35,100,X84,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
36057,827,2,1910,30,58,0.467,15,96,0.750,30,0,2300,58.800,41.200,6,0,3,0.750,30,35,100,X96,WARDS,NO,YES,BENTON,COATED,COATED,LINE,YES,MOTTER94,TABLOID,CANADIAN,1
36024,815,9,1910,52.500,54,0.433,16.300,90,0.750,38,0,1800,62.500,38.500,0,0,2.900,1.100,33,35,100,G407,CHILDWORLD,YES,YES,BENTON,COATED,UNCOATED,LINE,NO,WOODHOE70,TABLOID,CANADIAN,1
36024,815,2,1910,55.500,54,0.233,15,82,0.750,38,0,1800,58.800,41.200,0,0,2,1,33,35,100,G150,CHILDWORLD,YES,YES,BENTON,COATED,UNCOATED,LINE,NO,WOODHOE70,TABLOID,CANADIAN,1
25424,821,2,,40,54,,14.600,85,,20,21.700,1850,43.500,34.800,0,0,2.500,0.800,40,,,X777,TVGUIDE,YES,YES,BENTON,UNCOATED,UNCOATED,XYLOL,YES,MOTTER94,TABLOID,NORTHUS,1
34397,813,1,1910,50,53,0.300,16,65,0.750,,15.800,1300,49.500,34.700,0,0,2.500,1,28,35,93.500,B6,DOWNS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,MIDEUROPEAN,1
34397,813,6,1910,50,53,0.300,16.500,90,0.750,,11.300,1300,51.500,37.100,0,0,2.500,0.700,28,35,100,F85,DOWNS,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,YES,MOTTER70,CATALOG,MIDEUROPEAN,1
36846,802,7,1910,50,59,0.367,13,92,0.625,49,0,1300,58.800,41.200,0,0,3,1.100,40,35,100,I301,GLOBAL,YES,YES,BENTON,UNCOATED,COVER,LINE,YES,ALBERT70,CATALOG,NORTHUS,0
38025,815,9,1910,57.500,55,0.333,14,86,0.750,30,13,1700,50,37,0,0,2.900,0.900,34,35,100,F135,CASUALLIVING,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,WOODHOE70,CATALOG,NORTHUS,1
38025,815,2,1910,55,55,0.300,13,86,0.750,28,13.700,1700,49,37.300,0,0,3,0.800,34,35,100,T178,CASUALLIVING,YES,YES,BENTON,UNCOATED,UNCOATED,LINE,NO,WOODHOE70,CATALOG,NORTHUS,1
36874,815,9,,,60,,15.500,80,,30,13,1750,54.300,32.600,0,0,2.750,1,33,,,F257,CAMPINGWORLD,,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,1
37874,815,2,,,60,,15,78,0.625,34,15,1750,50,35,0,0,2.500,1,33,,,F170,CAMPINGWORLD,,YES,BENTON,COATED,COATED,LINE,YES,WOODHOE70,CATALOG,CANADIAN,1
